"Date","FieldNotes","FlowAdjustment"
"Date Assessed Saturday, 2018-04-14","Stream flow at 101.5 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.9 deg C. Recorded by ICC.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2020-08-17","flow was 133.3 MGD. Wadable conditions. Temperature was 26.8 deg C. Recorded by KXX.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2020-01-25","flow was 146.7 MGD. Wadable conditions. Temperature was 28.6 deg C. Recorded by OJG.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2020-01-14","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 34.9 deg C. Recorded by AEL.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Wednesday, 2020-05-06","Stream flow at 87.7 cfs.  Temperature was 28.6 deg C. Recorded by VRE.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2019-05-21","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 28.8 deg C. Recorded by YBM.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2019-07-22","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 24.3 deg C. Recorded by DDE.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2019-09-21","flow was 108.7 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.6 deg C. Recorded by DEC.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2022-03-01","Stream flow at 112 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.2 deg C. Recorded by GHO.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2019-06-28","Streamflow is 136 MGD. Wadable conditions. Temperature was 31.9 deg C. Recorded by CFD.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2020-03-31","Streamflow is 0.3 gpm.  Temperature was 21 deg C. Recorded by RLK.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2017-07-10","flow was 87.8 cfs.  Temperature was 28.8 deg C. Recorded by NEJ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-05-26","Streamflow is 107.5 cfs.  Temperature was 24.8 deg C. Recorded by GIB.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2016-08-11","flow was 90.6 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.6 deg C. Recorded by KLO.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2016-07-19","flow was 126 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.7 deg C. Recorded by BBI.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2017-03-08","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.3 deg C. Recorded by OBW.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2017-08-27","Streamflow is 172 MGD. Wadable conditions. Temperature was 30.1 deg C. Recorded by WFF.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2016-09-14","Streamflow is 164.4 MGD.  Temperature was 29.9 deg C. Recorded by RSO.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2017-08-12","Streamflow is 125.3 MGD.  Temperature was 28.1 deg C. Recorded by XJG.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2017-10-05","flow was 158.6 MGD. Wadable conditions. Temperature was 26.4 deg C. Recorded by IQD.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2021-08-29","Streamflow is 101.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28 deg C. Recorded by VMH.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2020-02-04","Streamflow is 155.5 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.1 deg C. Recorded by YPV.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2021-05-01","Stream flow at 108.4 cfs.  Temperature was 33.1 deg C. Recorded by TYJ.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Sunday, 2019-01-13","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 33.2 deg C. Recorded by QAD.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Tuesday, 2021-09-21","Stream flow at 96 cfs. Wadable conditions. Temperature was 30 deg C. Recorded by JNO.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Sunday, 2019-03-03","flow was 0.2 gpm.  Temperature was 28.5 deg C. Recorded by AIE.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2019-01-06","Stream flow at 144.4 MGD. Wadable conditions. Temperature was 25.6 deg C. Recorded by TYL.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2021-01-12","Stream flow at 130.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.7 deg C. Recorded by AKB.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2017-01-22","Streamflow is 158.7 MGD. Ambient Air Temperature was 28 deg C. Temperature was 24.7 deg C. Recorded by EUA.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2020-06-09","flow was 0.2 gpm.  Temperature was 29.6 deg C. Recorded by BRU.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2021-09-15","Streamflow is 98.2 cfs. Wadable conditions. Temperature was 33.9 deg C. Recorded by FDC.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2019-12-12","flow was 94.3 cfs.  Temperature was 31.4 deg C. Recorded by KFU.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2019-04-16","Stream flow at 0.3 gpm.  Temperature was 30.5 deg C. Recorded by KVK.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2019-05-18","flow was 152.4 MGD. Wadable conditions. Temperature was 34.4 deg C. Recorded by GQV.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Saturday, 2018-07-28","Streamflow is 97.7 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.6 deg C. Recorded by RET.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2017-12-08","Stream flow at 181.3 MGD. Wadable conditions. Temperature was 23.3 deg C. Recorded by SIU.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2016-11-09","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 25.1 deg C. Recorded by XKW.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2022-03-04","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.4 deg C. Recorded by OWP.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2019-03-11","Streamflow is 99.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 32.4 deg C. Recorded by PGQ.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Wednesday, 2016-10-19","flow was 109.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 29.5 deg C. Recorded by YVH.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Saturday, 2019-03-23","Stream flow at 149.1 MGD. Wadable conditions. Temperature was 28.7 deg C. Recorded by YLA.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2021-03-04","flow was 0.2 gpm. Wadable conditions. Temperature was 25.7 deg C. Recorded by BRJ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2020-06-02","Stream flow at 73.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 26.7 deg C. Recorded by YFS.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2016-12-28","Stream flow at 103 cfs.  Temperature was 25.4 deg C. Recorded by WKM.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2018-02-16","Streamflow is 146.8 MGD. Wadable conditions. Temperature was 26 deg C. Recorded by SXG.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Tuesday, 2020-03-03","Stream flow at 102.9 cfs. Wadable conditions. Temperature was 32.2 deg C. Recorded by JAQ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2016-08-02","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 29.7 deg C. Recorded by YBN.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2018-03-18","Streamflow is 0.2 gpm.  Temperature was 27.7 deg C. Recorded by GND.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Sunday, 2016-11-06","Streamflow is 117.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 32.5 deg C. Recorded by VHA.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2017-11-17","Streamflow is 93 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.3 deg C. Recorded by IEC.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2016-07-31","Stream flow at 0.2 gpm.  Temperature was 27.2 deg C. Recorded by YDR.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2019-01-19","flow was 90.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.8 deg C. Recorded by NOF.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Monday, 2016-08-15","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 31 deg C. Recorded by JFQ.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Tuesday, 2019-08-27","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 21.9 deg C. Recorded by AFI.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Friday, 2019-12-06","Stream flow at 100.7 cfs. Wadable conditions. Temperature was 28.3 deg C. Recorded by OSA.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Sunday, 2020-12-13","Stream flow at 118.1 cfs.  Temperature was 30.3 deg C. Recorded by KDR.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Tuesday, 2017-03-21","flow was 141.1 MGD.  Temperature was 32.3 deg C. Recorded by BRH.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Tuesday, 2017-12-26","Streamflow is 129.6 MGD.  Temperature was 31.3 deg C. Recorded by MPY.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Thursday, 2017-05-18","flow was 107.1 cfs.  Temperature was 28.8 deg C. Recorded by NKB.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Thursday, 2020-06-04","flow was 122.6 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.2 deg C. Recorded by RFU.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Wednesday, 2018-07-04","Stream flow at 0.2 gpm. Wadable conditions. Temperature was 29.1 deg C. Recorded by IWB.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2019-09-09","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.1 deg C. Recorded by QGI.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Monday, 2021-03-22","Streamflow is 153.3 MGD.  Temperature was 26 deg C. Recorded by MYP.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Friday, 2020-09-11","Stream flow at 85.2 cfs. Wadable conditions. Temperature was 31.5 deg C. Recorded by UTQ.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Wednesday, 2019-05-29","flow was 0.2 gpm. Wadable conditions. Temperature was 29.4 deg C. Recorded by OHO.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2017-02-17","Stream flow at 92.1 cfs. Ambient Air Temperature was 28 deg C. Temperature was 32.5 deg C. Recorded by BID.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2016-12-18","Streamflow is 123.3 cfs.  Temperature was 24.9 deg C. Recorded by LAL.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2021-01-04","Stream flow at 106.2 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.2 deg C. Recorded by QXO.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2021-06-22","Stream flow at 116.9 cfs.  Temperature was 27.2 deg C. Recorded by TIX.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Monday, 2018-11-26","Stream flow at 90.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 27.3 deg C. Recorded by HYB.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Tuesday, 2022-02-08","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 26.9 deg C. Recorded by EMI.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Monday, 2021-06-21","flow was 85.6 cfs. Wadable conditions. Temperature was 28.8 deg C. Recorded by PKL.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Saturday, 2019-09-14","flow was 0.2 gpm.  Temperature was 27.6 deg C. Recorded by KWD.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2022-01-11","Streamflow is 90.8 cfs. Wadable conditions. Temperature was 28.8 deg C. Recorded by IQA.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Sunday, 2016-08-07","flow was 115 cfs.  Temperature was 32.1 deg C. Recorded by AKT.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Friday, 2020-01-31","Stream flow at 162.5 MGD.  Temperature was 27.1 deg C. Recorded by YDI.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2021-06-28","Stream flow at 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 31.2 deg C. Recorded by TEI.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2020-08-04","flow was 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 25.6 deg C. Recorded by NLG.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Monday, 2019-03-04","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 27.2 deg C. Recorded by JCH.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Friday, 2017-06-30","Streamflow is 90.3 cfs. Ambient Air Temperature was 28 deg C. Temperature was 30.1 deg C. Recorded by QFS.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Sunday, 2020-12-20","Stream flow at 159.2 MGD.  Temperature was 25.4 deg C. Recorded by XFF.","Flow was scaled by constant factor of 0.8 to account for science"
